Month of Date (International),Week of Date (International),Year of Date (International),Flights,Flights (International),Total Flights
September,Week 38,2020,14938,1047,15985
September,Week 38,2020,14176,906,15082
September,Week 38,2020,15042,1015,16057
September,Week 38,2020,16652,1188,17840
September,Week 38,2020,16351,1195,17546
September,Week 38,2020,13619,1229,14848
September,Week 39,2020,14934,1188,16122
September,Week 39,2020,15118,1090,16208
September,Week 39,2020,14520,949,15469
September,Week 39,2020,15376,1052,16428
September,Week 39,2020,16947,1225,18172
September,Week 39,2020,16441,1221,17662
September,Week 39,2020,13714,1277,14991
September,Week 40,2020,15030,1209,16239
September,Week 40,2020,15260,1087,16347
September,Week 40,2020,14783,923,15706
September,Week 40,2020,15374,1067,16441
October,Week 40,2020,17488,1278,18766
October,Week 40,2020,17031,1291,18322
October,Week 40,2020,14211,1310,15521
October,Week 41,2020,15646,1279,16925
October,Week 41,2020,15926,1168,17094
October,Week 41,2020,14675,1001,15676
October,Week 41,2020,15240,1052,16292
October,Week 41,2020,18165,1312,19477
October,Week 41,2020,17768,1399,19167
October,Week 41,2020,14625,1447,16072
October,Week 42,2020,16249,1349,17598
October,Week 42,2020,16753,1278,18031
October,Week 42,2020,15100,1073,16173
October,Week 42,2020,15663,1218,16881
October,Week 42,2020,18222,1374,19596
October,Week 42,2020,17878,1430,19308
October,Week 42,2020,14732,1498,16230
October,Week 43,2020,16747,1399,18146
October,Week 43,2020,16697,1305,18002
October,Week 43,2020,15131,1086,16217
October,Week 43,2020,15598,1210,16808
October,Week 43,2020,18071,1398,19469
October,Week 43,2020,17755,1423,19178
October,Week 43,2020,14315,1479,15794
October,Week 44,2020,15611,1398,17009
October,Week 44,2020,15850,1285,17135
October,Week 44,2020,14730,1103,15833
October,Week 44,2020,15243,1251,16494
October,Week 44,2020,17407,1393,18800
October,Week 44,2020,17176,1437,18613
October,Week 44,2020,12219,1385,13604
November,Week 45,2020,15133,1497,16630
November,Week 45,2020,15904,1410,17314
November,Week 45,2020,13952,1224,15176
November,Week 45,2020,15089,1478,16567
November,Week 45,2020,18151,1553,19704
November,Week 45,2020,17764,1600,19364
November,Week 45,2020,14268,1718,15986
November,Week 46,2020,16695,1619,18314
November,Week 46,2020,16900,1476,18376
November,Week 46,2020,14881,1302,16183
November,Week 46,2020,15507,1527,17034
November,Week 46,2020,18515,1610,20125
November,Week 46,2020,18170,1613,19783
November,Week 46,2020,14699,1750,16449
November,Week 47,2020,16895,1651,18546
November,Week 47,2020,17177,1515,18692
November,Week 47,2020,14978,1282,16260
November,Week 47,2020,16071,1539,17610
November,Week 47,2020,19116,1677,20793
November,Week 47,2020,19529,1748,21277
November,Week 47,2020,17440,1934,19374
November,Week 48,2020,18046,1753,19799
November,Week 48,2020,17193,1540,18733
November,Week 48,2020,19997,1535,21532
November,Week 48,2020,19979,1685,21664
November,Week 48,2020,9355,1363,10718
November,Week 48,2020,15825,1632,17457
November,Week 48,2020,18482,1921,20403
November,Week 49,2020,19810,1768,21578
November,Week 49,2020,19263,1665,20928
December,Week 49,2020,17901,1467,19368
December,Week 49,2020,15779,1693,17472
December,Week 49,2020,17896,1750,19646
December,Week 49,2020,17441,1797,19238
December,Week 49,2020,13581,1948,15529
December,Week 50,2020,15776,1833,17609
December,Week 50,2020,16311,1736,18047
December,Week 50,2020,14914,1456,16370
December,Week 50,2020,15541,1746,17287
December,Week 50,2020,18015,1812,19827
December,Week 50,2020,17477,1886,19363
December,Week 50,2020,13625,2014,15639
December,Week 51,2020,15858,1849,17707
December,Week 51,2020,16421,1759,18180
December,Week 51,2020,15515,1534,17049
December,Week 51,2020,15508,1754,17262
December,Week 51,2020,18919,1961,20880
December,Week 51,2020,20713,2261,22974
December,Week 51,2020,19503,2545,22048
December,Week 52,2020,18771,2290,21061
December,Week 52,2020,19179,2084,21263
December,Week 52,2020,20230,2076,22306
December,Week 52,2020,20644,2198,22842
December,Week 52,2020,15039,1798,16837
December,Week 52,2020,10979,1673,12652
December,Week 52,2020,18182,2369,20551
January,Week 2,2021,19113,2300,21413
January,Week 2,2021,18435,2151,20586
January,Week 2,2021,16158,1821,17979
January,Week 2,2021,15909,1877,17786
January,Week 2,2021,17609,1972,19581
January,Week 2,2021,17123,2047,19170
January,Week 2,2021,13845,2267,16112
January,Week 3,2021,15428,2092,17520
January,Week 3,2021,15853,1888,17741
January,Week 3,2021,14936,1662,16598
January,Week 3,2021,15280,1778,17058
January,Week 3,2021,17726,1899,19625
January,Week 3,2021,17441,1999,19440
January,Week 3,2021,13566,2207,15773
January,Week 4,2021,14959,1986,16945
January,Week 4,2021,16241,1853,18094
January,Week 4,2021,14914,1603,16517
January,Week 4,2021,15281,1747,17028
January,Week 4,2021,17606,1882,19488
January,Week 4,2021,17198,1941,19139
January,Week 4,2021,13538,2169,15707
January,Week 5,2021,15810,1985,17795
January,Week 5,2021,15618,1804,17422
January,Week 5,2021,14501,1543,16044
January,Week 5,2021,15291,1672,16963
January,Week 5,2021,17396,1821,19217
January,Week 5,2021,17367,1914,19281
January,Week 5,2021,13556,2129,15685
January,Week 6,2021,15285,1929,17214
February,Week 6,2021,14339,1516,15855
February,Week 6,2021,14275,1479,15754
February,Week 6,2021,15403,1664,17067
February,Week 6,2021,17569,1821,19390
February,Week 6,2021,17406,1883,19289
February,Week 6,2021,13836,2111,15947
February,Week 7,2021,14962,1845,16807
February,Week 7,2021,16553,1692,18245
February,Week 7,2021,15056,1484,16540
February,Week 7,2021,15666,1632,17298
February,Week 7,2021,18244,1888,20132
February,Week 7,2021,18645,2003,20648
February,Week 7,2021,14115,2187,16302
February,Week 8,2021,13550,1807,15357
February,Week 8,2021,13386,1549,14935
February,Week 8,2021,12430,1386,13816
February,Week 8,2021,13534,1518,15052
February,Week 8,2021,15181,1693,16874
February,Week 8,2021,17197,1831,19028
February,Week 8,2021,14972,2202,17174
February,Week 9,2021,17188,1943,19131
February,Week 9,2021,17355,1723,19078
February,Week 9,2021,15987,1550,17537
February,Week 9,2021,16507,1670,18177
February,Week 9,2021,18952,1830,20782
February,Week 9,2021,18768,1889,20657
February,Week 9,2021,14923,2152,17075
February,Week 10,2021,17384,1952,19336
March,Week 10,2021,17500,1744,19244
March,Week 10,2021,16089,1547,17636
March,Week 10,2021,16810,1680,18490
March,Week 10,2021,20017,1823,21840
March,Week 10,2021,19724,1921,21645
March,Week 10,2021,16493,2178,18671
March,Week 11,2021,18895,1982,20877
March,Week 11,2021,19352,1779,21131
March,Week 11,2021,17735,1652,19387
March,Week 11,2021,18375,1787,20162
March,Week 11,2021,21494,1911,23405
March,Week 11,2021,21378,2003,23381
March,Week 11,2021,17569,2233,19802
March,Week 12,2021,17932,1978,19910
March,Week 12,2021,19090,1808,20898
March,Week 12,2021,19101,1706,20807
March,Week 12,2021,19168,1823,20991
March,Week 12,2021,21574,1922,23496
March,Week 12,2021,21405,1992,23397
March,Week 12,2021,18614,2264,20878
March,Week 13,2021,20043,2055,22098
March,Week 13,2021,20166,1812,21978
March,Week 13,2021,19244,1677,20921
March,Week 13,2021,19868,1842,21710
March,Week 13,2021,22095,1975,24070
March,Week 13,2021,21614,2035,23649
March,Week 13,2021,18861,2312,21173
March,Week 14,2021,19956,2094,22050
March,Week 14,2021,20234,1870,22104
March,Week 14,2021,19361,1780,21141
March,Week 14,2021,20043,1894,21937
April,Week 14,2021,22079,1946,24025
April,Week 14,2021,21826,2019,23845
April,Week 14,2021,18766,2271,21037
April,Week 15,2021,19923,2090,22013
April,Week 15,2021,21184,1892,23076
April,Week 15,2021,19466,1800,21266
April,Week 15,2021,19845,1882,21727
April,Week 15,2021,22295,1958,24253
April,Week 15,2021,21837,2045,23882
April,Week 15,2021,18652,2292,20944
April,Week 16,2021,19487,2041,21528
April,Week 16,2021,20643,1887,22530
April,Week 16,2021,18854,1754,20608
April,Week 16,2021,19144,1876,21020
April,Week 16,2021,21882,1941,23823
April,Week 16,2021,21431,2020,23451
April,Week 16,2021,17905,2256,20161
April,Week 17,2021,20037,2082,22119
April,Week 17,2021,20203,1881,22084
April,Week 17,2021,18746,1778,20524
April,Week 17,2021,19173,1884,21057
April,Week 17,2021,22171,1977,24148
April,Week 17,2021,21495,2061,23556
April,Week 17,2021,17928,2276,20204
April,Week 18,2021,20205,2095,22300
April,Week 18,2021,20313,1900,22213
April,Week 18,2021,18777,1795,20572
April,Week 18,2021,19173,1877,21050
April,Week 18,2021,22171,1981,24152
April,Week 18,2021,21596,2088,23684
May,Week 18,2021,18033,2353,20386
May,Week 19,2021,20182,2093,22275
May,Week 19,2021,20378,1926,22304
May,Week 19,2021,18640,1852,20492
May,Week 19,2021,19650,1950,21600
May,Week 19,2021,22926,2103,25029
May,Week 19,2021,22572,2180,24752
May,Week 19,2021,19060,2383,21443
May,Week 20,2021,20890,2181,23071
May,Week 20,2021,21509,2027,23536
May,Week 20,2021,20140,1941,22081
May,Week 20,2021,21146,2049,23195
May,Week 20,2021,23396,2134,25530
May,Week 20,2021,22890,2188,25078
May,Week 20,2021,19121,2413,21534
May,Week 21,2021,21203,2186,23389
May,Week 21,2021,21748,2045,23793
May,Week 21,2021,20785,1969,22754
May,Week 21,2021,21510,2050,23560
May,Week 21,2021,23580,2164,25744
May,Week 21,2021,23070,2212,25282
May,Week 21,2021,19308,2429,21737
May,Week 22,2021,21429,2218,23647
May,Week 22,2021,22014,2064,24078
May,Week 22,2021,21040,2014,23054
May,Week 22,2021,21970,2085,24055
May,Week 22,2021,23897,2194,26091
May,Week 22,2021,23545,2247,25792
May,Week 22,2021,19281,2484,21765
May,Week 23,2021,19923,2255,22178
May,Week 23,2021,21326,2127,23453
June,Week 23,2021,20974,2125,23099
June,Week 23,2021,22303,2220,24523
June,Week 23,2021,24304,2409,26713
June,Week 23,2021,24494,2444,26938
June,Week 23,2021,21250,2729,23979
June,Week 24,2021,23121,2477,25598
June,Week 24,2021,23510,2353,25863
June,Week 24,2021,23299,2284,25583
June,Week 24,2021,23915,2402,26317
June,Week 24,2021,25545,2448,27993
June,Week 24,2021,25194,2518,27712
June,Week 24,2021,21812,2779,24591
June,Week 25,2021,23353,2547,25900
June,Week 25,2021,23915,2396,26311
June,Week 25,2021,23254,2376,25630
June,Week 25,2021,24194,2480,26674
June,Week 25,2021,25700,2547,28247
June,Week 25,2021,25089,2561,27650
June,Week 25,2021,21931,2821,24752
June,Week 26,2021,23327,2559,25886
June,Week 26,2021,23624,2440,26064
June,Week 26,2021,23889,2425,26314
June,Week 26,2021,24561,2536,27097
June,Week 26,2021,25598,2579,28177
June,Week 26,2021,25330,2600,27930
June,Week 26,2021,21675,2896,24571
June,Week 27,2021,23439,2598,26037
June,Week 27,2021,23896,2474,26370
June,Week 27,2021,23851,2424,26275
June,Week 27,2021,24630,2522,27152
July,Week 27,2021,26123,2584,28707
July,Week 27,2021,25184,2619,27803
July,Week 27,2021,21642,2924,24566
July,Week 28,2021,20147,2657,22804
July,Week 28,2021,23341,2604,25945
July,Week 28,2021,23227,2521,25748
July,Week 28,2021,24605,2574,27179
July,Week 28,2021,25944,2643,28587
July,Week 28,2021,25323,2686,28009
July,Week 28,2021,22644,2999,25643
July,Week 29,2021,24024,2701,26725
July,Week 29,2021,24496,2563,27059
July,Week 29,2021,24365,2554,26919
July,Week 29,2021,24942,2626,27568
July,Week 29,2021,26227,2692,28919
July,Week 29,2021,25739,2766,28505
July,Week 29,2021,22038,2979,25017
July,Week 30,2021,24014,2714,26728
July,Week 30,2021,24644,2614,27258
July,Week 30,2021,24718,2568,27286
July,Week 30,2021,25035,2615,27650
July,Week 30,2021,26427,2723,29150
July,Week 30,2021,25672,2762,28434
July,Week 30,2021,22394,3034,25428
July,Week 31,2021,24078,2721,26799
July,Week 31,2021,24699,2618,27317
July,Week 31,2021,24572,2564,27136
July,Week 31,2021,25147,2643,27790
July,Week 31,2021,26253,2706,28959
July,Week 31,2021,25763,2750,28513
July,Week 31,2021,22277,2961,25238
August,Week 32,2021,23535,2775,26310
August,Week 32,2021,23787,2593,26380
August,Week 32,2021,23652,2574,26226
August,Week 32,2021,24415,2705,27120
August,Week 32,2021,25780,2768,28548
August,Week 32,2021,25286,2827,28113
August,Week 32,2021,22117,3117,25234
August,Week 33,2021,23992,2842,26834
August,Week 33,2021,24016,2690,26706
August,Week 33,2021,23984,2665,26649
August,Week 33,2021,24295,2675,26970
August,Week 33,2021,26071,2772,28843
August,Week 33,2021,25612,2788,28400
August,Week 33,2021,21788,3058,24846
August,Week 34,2021,23523,2765,26288
August,Week 34,2021,24518,2652,27170
August,Week 34,2021,23021,2429,25450
August,Week 34,2021,24010,2543,26553
August,Week 34,2021,26092,2608,28700
August,Week 34,2021,25323,2682,28005
August,Week 34,2021,21737,2930,24667
August,Week 35,2021,22591,2631,25222
August,Week 35,2021,23958,2561,26519
August,Week 35,2021,23378,2483,25861
August,Week 35,2021,24096,2569,26665
August,Week 35,2021,25902,2634,28536
August,Week 35,2021,25529,2679,28208
August,Week 35,2021,21507,2911,24418
August,Week 36,2021,23276,2683,25959
August,Week 36,2021,23219,2562,25781
August,Week 36,2021,23073,2510,25583
September,Week 36,2021,23498,2480,25978
September,Week 36,2021,25473,2574,28047
September,Week 36,2021,25609,2706,28315
September,Week 36,2021,20789,2903,23692
September,Week 37,2021,20776,2668,23444
September,Week 37,2021,22619,2546,25165
September,Week 37,2021,21982,2448,24430
September,Week 37,2021,23089,2436,25525
September,Week 37,2021,25643,2569,28212
September,Week 37,2021,25204,2611,27815
September,Week 37,2021,20446,2856,23302
September,Week 38,2021,23787,2670,26457
September,Week 38,2021,23622,2502,26124
September,Week 38,2021,22462,2331,24793
September,Week 38,2021,23446,2420,25866
September,Week 38,2021,26009,2528,28537
September,Week 38,2021,25588,2615,28203
September,Week 38,2021,20458,2837,23295
September,Week 39,2021,24068,2693,26761
September,Week 39,2021,23943,2495,26438
September,Week 39,2021,22788,2372,25160
September,Week 39,2021,23342,2455,25797
September,Week 39,2021,25659,2520,28179
September,Week 39,2021,25758,2625,28383
September,Week 39,2021,20567,2821,23388
September,Week 40,2021,24249,2700,26949
September,Week 40,2021,24078,2460,26538
September,Week 40,2021,22661,2346,25007
September,Week 40,2021,23458,2453,25911
September,Week 40,2021,26015,2589,28604
October,Week 40,2021,25482,2609,28091
October,Week 40,2021,20530,2831,23361
October,Week 41,2021,24117,2666,26783
October,Week 41,2021,23981,2468,26449
October,Week 41,2021,22914,2352,25266
October,Week 41,2021,23773,2472,26245
October,Week 41,2021,26260,2655,28915
October,Week 41,2021,25666,2708,28374
October,Week 41,2021,20584,2889,23473
October,Week 42,2021,22806,2702,25508
October,Week 42,2021,23972,2588,26560
October,Week 42,2021,23696,2488,26184
October,Week 42,2021,23932,2557,26489
October,Week 42,2021,26244,2687,28931
October,Week 42,2021,25789,2729,28518
October,Week 42,2021,21190,2932,24122
October,Week 43,2021,24014,2758,26772
October,Week 43,2021,24479,2595,27074
October,Week 43,2021,23595,2492,26087
October,Week 43,2021,24374,2578,26952
October,Week 43,2021,25534,2684,28218
October,Week 43,2021,24606,2527,27133
October,Week 43,2021,21126,2913,24039
October,Week 44,2021,24111,2760,26871
October,Week 44,2021,24322,2587,26909
October,Week 44,2021,23284,2490,25774
October,Week 44,2021,24187,2564,26751
October,Week 44,2021,25749,2681,28430
October,Week 44,2021,25263,2697,27960
October,Week 44,2021,19912,2831,22743
October,Week 45,2021,20857,2683,23540
November,Week 45,2021,23878,2657,26535
November,Week 45,2021,23270,2567,25837
November,Week 45,2021,24558,2745,27303
November,Week 45,2021,26477,2881,29358
November,Week 45,2021,25890,2865,28755
November,Week 45,2021,20702,3085,23787
November,Week 46,2021,23906,2978,26884
November,Week 46,2021,24460,2812,27272
November,Week 46,2021,23283,2573,25856
November,Week 46,2021,24266,2767,27033
November,Week 46,2021,26276,2929,29205
November,Week 46,2021,25553,2934,28487
November,Week 46,2021,20344,3159,23503
November,Week 47,2021,23886,3000,26886
November,Week 47,2021,24655,2883,27538
November,Week 47,2021,23310,2585,25895
November,Week 47,2021,24477,2772,27249
November,Week 47,2021,26368,2948,29316
November,Week 47,2021,26253,3070,29323
November,Week 47,2021,21858,3330,25188
November,Week 48,2021,23839,3110,26949
November,Week 48,2021,24372,2822,27194
November,Week 48,2021,26618,2809,29427
November,Week 48,2021,27007,2954,29961
November,Week 48,2021,14664,2636,17300
November,Week 48,2021,20646,2919,23565
November,Week 48,2021,24278,3359,27637
November,Week 49,2021,25947,3133,29080
November,Week 49,2021,25970,2972,28942
November,Week 49,2021,25265,2816,28081
December,Week 49,2021,24627,2955,27582
December,Week 49,2021,26302,3071,29373
December,Week 49,2021,25588,3129,28717
December,Week 49,2021,20103,3387,23490
December,Week 50,2021,23376,3197,26573
December,Week 50,2021,23859,3007,26866
December,Week 50,2021,23320,2848,26168
December,Week 50,2021,24178,2953,27131
December,Week 50,2021,25960,3164,29124
December,Week 50,2021,25050,3118,28168
December,Week 50,2021,19836,3401,23237
December,Week 51,2021,23141,3235,26376
December,Week 51,2021,23673,3062,26735
December,Week 51,2021,23097,2928,26025
December,Week 51,2021,23538,3052,26590
December,Week 51,2021,26094,3391,29485
December,Week 51,2021,26547,3462,30009
December,Week 51,2021,22749,3816,26565
December,Week 52,2021,23553,3591,27144
December,Week 52,2021,24641,3424,28065
December,Week 52,2021,25391,3422,28813
December,Week 52,2021,25975,3497,29472
December,Week 52,2021,26183,3531,29714
December,Week 52,2021,19842,3243,23085
December,Week 52,2021,16857,3394,20251
January,Week 2,2022,21397,3484,24881
January,Week 2,2022,21581,3372,24953
January,Week 2,2022,21748,3204,24952
January,Week 2,2022,21326,3116,24442
January,Week 2,2022,22007,3213,25220
January,Week 2,2022,21391,3098,24489
January,Week 2,2022,18360,3473,21833
January,Week 3,2022,21511,3252,24763
January,Week 3,2022,22004,3072,25076
January,Week 3,2022,21384,2912,24296
January,Week 3,2022,22141,3009,25150
January,Week 3,2022,23939,3091,27030
January,Week 3,2022,24067,3147,27214
January,Week 3,2022,18449,3440,21889
January,Week 4,2022,17684,3063,20747
January,Week 4,2022,21802,2790,24592
January,Week 4,2022,21843,2790,24633
January,Week 4,2022,22447,2873,25320
January,Week 4,2022,24118,3007,27125
January,Week 4,2022,23574,3091,26665
January,Week 4,2022,18304,3401,21705
January,Week 5,2022,22105,3081,25186
January,Week 5,2022,22386,2892,25278
January,Week 5,2022,21836,2673,24509
January,Week 5,2022,22665,2862,25527
January,Week 5,2022,24810,2943,27753
January,Week 5,2022,23372,2948,26320
January,Week 5,2022,15397,2753,18150
January,Week 6,2022,21210,2921,24131
January,Week 6,2022,22544,2877,25421
February,Week 6,2022,21974,2664,24638
February,Week 6,2022,20518,2720,23238
February,Week 6,2022,18572,2651,21223
February,Week 6,2022,19922,2731,22653
February,Week 6,2022,17790,3094,20884
February,Week 7,2022,21906,2924,24830
February,Week 7,2022,22983,2814,25797
February,Week 7,2022,22432,2651,25083
February,Week 7,2022,23138,2813,25951
February,Week 7,2022,25150,2940,28090
February,Week 7,2022,24731,3065,27796
February,Week 7,2022,19308,3417,22725
February,Week 8,2022,21339,3081,24420
February,Week 8,2022,23576,2880,26456
February,Week 8,2022,22771,2720,25491
February,Week 8,2022,23763,2910,26673
February,Week 8,2022,24712,2973,27685
February,Week 8,2022,25303,3115,28418
February,Week 8,2022,19986,3479,23465
February,Week 9,2022,21873,3168,25041
February,Week 9,2022,24254,3038,27292
February,Week 9,2022,23501,2830,26331
February,Week 9,2022,22742,2886,25628
February,Week 9,2022,23519,2963,26482
February,Week 9,2022,23714,3085,26799
February,Week 9,2022,20357,3516,23873
February,Week 10,2022,23257,3251,26508
February,Week 10,2022,24109,3082,27191
March,Week 10,2022,23351,2906,26257
March,Week 10,2022,23932,2972,26904
March,Week 10,2022,25466,3162,28628
March,Week 10,2022,24829,3263,28092
March,Week 10,2022,20227,3661,23888
March,Week 11,2022,22945,3343,26288
March,Week 11,2022,23644,3109,26753
March,Week 11,2022,23094,2979,26073
March,Week 11,2022,23368,3056,26424
March,Week 11,2022,25690,3226,28916
March,Week 11,2022,25144,3315,28459
March,Week 11,2022,20080,3642,23722
March,Week 12,2022,22904,3383,26287
March,Week 12,2022,23941,3161,27102
March,Week 12,2022,23232,3006,26238
March,Week 12,2022,24135,3095,27230
March,Week 12,2022,25161,3244,28405
March,Week 12,2022,24898,3350,28248
March,Week 12,2022,21511,3791,25302
March,Week 13,2022,23654,3460,27114
March,Week 13,2022,23665,3197,26862
March,Week 13,2022,23304,3032,26336
March,Week 13,2022,24027,3109,27136
March,Week 13,2022,25777,3272,29049
March,Week 13,2022,25380,3332,28712
March,Week 13,2022,21392,3796,25188
March,Week 14,2022,23530,3602,27132
March,Week 14,2022,24112,3361,27473
March,Week 14,2022,23409,3210,26619
March,Week 14,2022,23911,3301,27212
March,Week 14,2022,25209,3401,28610
April,Week 14,2022,24776,3495,28271
April,Week 14,2022,19225,3820,23045
April,Week 15,2022,22436,3492,25928
April,Week 15,2022,23753,3348,27101
April,Week 15,2022,23898,3279,27177
April,Week 15,2022,24447,3411,27858
April,Week 15,2022,25025,3454,28479
April,Week 15,2022,25242,3563,28805
April,Week 15,2022,20404,3906,24310
April,Week 16,2022,23184,3681,26865
April,Week 16,2022,24274,3441,27715
April,Week 16,2022,23989,3347,27336
April,Week 16,2022,24495,3427,27922
April,Week 16,2022,25661,3511,29172
April,Week 16,2022,25041,3540,28581
April,Week 16,2022,20202,3879,24081
April,Week 17,2022,22921,3659,26580
April,Week 17,2022,24368,3467,27835
April,Week 17,2022,24173,3335,27508
April,Week 17,2022,24664,3414,28078
April,Week 17,2022,25864,3508,29372
April,Week 17,2022,25204,3530,28734
April,Week 17,2022,20479,3856,24335
April,Week 18,2022,23477,3659,27136
April,Week 18,2022,24133,3427,27560
April,Week 18,2022,24077,3327,27404
April,Week 18,2022,24774,3415,28189
April,Week 18,2022,25917,3512,29429
April,Week 18,2022,25364,3539,28903
April,Week 18,2022,20424,3794,24218
May,Week 19,2022,23175,3623,26798
May,Week 19,2022,24212,3468,27680
May,Week 19,2022,24186,3420,27606
May,Week 19,2022,24716,3417,28133
May,Week 19,2022,26280,3521,29801
May,Week 19,2022,25480,3563,29043
May,Week 19,2022,20530,3784,24314
May,Week 20,2022,23549,3625,27174
May,Week 20,2022,24646,3532,28178
May,Week 20,2022,24156,3450,27606
May,Week 20,2022,24838,3490,28328
May,Week 20,2022,26283,3534,29817
May,Week 20,2022,25354,3637,28991
May,Week 20,2022,20324,3870,24194
May,Week 21,2022,23478,3655,27133
May,Week 21,2022,23826,3471,27297
May,Week 21,2022,24268,3485,27753
May,Week 21,2022,24710,3524,28234
May,Week 21,2022,25813,3513,29326
May,Week 21,2022,24283,3516,27799
May,Week 21,2022,19695,3637,23332
